"STATE","TOTAL_POPULATION","POPULATION_MALE","POPULATION_FEMALE","NOMINAL_GDP_TRILLION_INR","NOMINAL_GDP_BILLION_USD","GDP_RANK"
"MAHARASHTRA",37722136,19961736,17760400,32.24,450,1
"TAMIL NADU",13879395,6957261,6922134,20.91,290,2
"GUJARAT",17835049,9541688,8293361,18.85,260,3
"KARNATAKA",15799896,8112840,7687056,18.05,250,4
"UTTAR PRADESH",25302925,13433369,11869556,17.91,250,5
"WEST BENGAL",18063509,9357777,8705732,14.7,210,6
"RAJASTHAN",10443016,5484470,4958546,11.33,160,7
"TELANGANA",35003674,17611633,17392041,11.08,160,8
"ANDHRA PRADESH",18171615,9192368,8979247,10.81,150,9
"MADHYA PRADESH",11023091,5761143,5261948,10.15,140,10
"KERALA",2755973,1335615,1420358,9.62,130,11
"HARYANA",5952223,3181968,2770255,9.4,130,12
"DELHI",13481997,7201322,6280675,8.56,120,13
"BIHAR",6714516,3558722,3155794,6.86,96,14
"PUNJAB",5821876,3106473,2715403,6.44,90,15
"ASSAM",1391154,720132,671022,4.09,57,17
"JHARKHAND",4278259,2247819,2030440,3.83,54,18
"CHHATTISGARH",3137918,1612019,1525899,3.62,51,19
"UTTARAKHAND",1340397,706939,633458,2.93,41,20
"HIMACHAL PRADESH",169758,93364,76394,1.82,26,21
"GOA",1458545,739140,719405,0.772,11,23
"TRIPURA",399688,199616,200072,0.461,6.5,24
"MEGHALAYA",143007,70028,72979,0.33,4.6,26
"CHANDIGARH",960787,525226,435561,0.318,4.5,27
"MANIPUR",264986,128931,136055,0.231,3.2,29
"SIKKIM",610577,323070,287507,0.222,3.1,30
"NAGALAND",123777,65017,58760,0.215,3,31
"MIZORAM",291822,143803,148019,0.176,2.5,32
