"MONTH","VALUE_IN_CR","NO_OF_BANKS_LIVE_ON_UPI","VOLUME_IN_MN","BANKS","VOLUME"
20-03-25,2477221.61,661,18301.51,661,18301.51
20-02-25,2196481.69,653,16106.19,653,16106.19
20-01-25,2348037.12,647,16996,647,16996
20-12-24,2324699.91,641,16730.01,641,16730.01
20-11-24,2155187.4,637,15482.02,637,15482.02
20-10-24,2349821.46,632,16584.97,632,16584.97
20-09-24,2063994.71,622,15041.75,622,15041.75
20-08-24,2060735.57,608,14963.05,608,14963.05
20-07-24,2064292.41,605,14435.55,605,14435.55
20-06-24,2007081.2,602,13885.14,602,13885.14
20-05-24,2044937.05,598,14035.84,598,14035.84
20-04-24,1964464.52,583,13303.99,583,13303.99
